Wave,Intense
378.9364929,0.00098189
378.0072632,0.001221552
376.9229736,0.001380362
375.9934692,0.001375198
375.0638428,0.001212493
373.9790955,0.000905268
373.0491638,0.001142316
371.9640808,0.001402579
371.0338745,0.00139752
369.9484863,0.001339808
369.0179749,0.001324728
367.932251,0.001514904
367.0014954,0.001376636
366.0706177,0.001335449
364.9844055,0.001297012
364.0532532,0.001539193
362.9667358,0.001393139
362.0353088,0.001483411
360.9484863,0.001247533
360.0167542,0.001524039
358.9296265,0.001444384
357.9976501,0.001379155
357.0655518,0.000902243
355.9779358,0.001373276
355.0455627,0.001390465
353.9576416,0.001604773
353.0249939,0.001632243
351.9367676,0.001708314
351.0038757,0.001856558
350.0708618,0.001663372
348.9821777,0.00194142
348.0488892,0.001937613
346.9598999,0.002098039
346.0263672,0.001995802
344.9370728,0.002092876
344.0032654,0.002085574
343.0693359,0.002165988
341.9796143,0.002389356
341.0454407,0.00224492
339.9554138,0.00206928
339.0209656,0.002287969
337.9306335,0.002501905
336.9959412,0.002315596
336.0611572,0.002412975
334.9703979,0.002441928
334.0353088,0.00274533
332.9442749,0.002857596
332.0089722,0.002909407
331.0735474,0.003296837
329.9820557,0.003252655
329.0463867,0.003491089
327.9546204,0.0036266
327.0187073,0.003863841
325.9266357,0.004446715
324.9904785,0.005045965
324.0541992,0.005384803
322.961731,0.006023675
322.0252075,0.007204577
320.9324646,0.008446693
319.995697,0.009662718
319.0588074,0.010942981
317.9656677,0.013107091
317.0285339,0.014809325
315.9351196,0.017288968
314.9977417,0.019814968
314.0603027,0.022676304
312.9664612,0.026534811
312.0287476,0.029402658
310.9346313,0.03351295
309.9967041,0.037763566
309.0586853,0.042736769
307.9641724,0.048309296
307.0258789,0.053635538
305.9310913,0.059853479
304.9926147,0.066658452
304.0539856,0.073577806
302.9588318,0.081835642
302.019989,0.087423533
300.9245605,0.096710414
299.9855042,0.104937077
299.0463257,0.114006013
297.9505005,0.12426059
297.0111084,0.13144663
296.0716248,0.139995962
294.9754333,0.151552081
294.0357056,0.161095828
292.9392395,0.172593951
291.9993286,0.18107976
291.0592651,0.189073503
289.9624329,0.199015424
289.0221863,0.208655283
287.9251099,0.218789384
286.9846191,0.226278648
286.0440674,0.232900187
284.9465942,0.241722405
284.0058289,0.249689028
283.0649414,0.256635457
281.9671326,0.260974512
281.0260315,0.268153235
279.927948,0.274896085
